餐廳名稱,地址,餐廳連結,latitude,longitude,distance
樂華夜市 正宗川麻辣臭豆腐,234新北市永和區永平路164號 ,https://www.google.com/maps/place/%E6%A8%82%E8%8F%AF%E5%A4%9C%E5%B8%82+%E6%AD%A3%E5%AE%97%E5%B7%9D%E9%BA%BB%E8%BE%A3%E8%87%AD%E8%B1%86%E8%85%90/data=!4m7!3m6!1s0x3442a9716c062c9b:0x84a27bc4709d0960!8m2!3d25.008912!4d121.5109143!16s%2Fg%2F11tjmqfcz_!19sChIJmywGbHGpQjQRYAmdcMR7ooQ?authuser=0&hl=zh-TW&rclk=1,25.008912,121.5083394,0.1980557123025363
好雞匯鹹水雞-樂華夜市,234新北市永和區保平路18巷19號一級棒烤肉對面 ,https://www.google.com/maps/place/%E5%A5%BD%E9%9B%9E%E5%8C%AF%E9%B9%B9%E6%B0%B4%E9%9B%9E-%E6%A8%82%E8%8F%AF%E5%A4%9C%E5%B8%82/data=!4m7!3m6!1s0x3442a9c2c30b1ea3:0xefc8603c09fc7357!8m2!3d25.007965!4d121.511874!16s%2Fg%2F11g8_116sy!19sChIJox4Lw8KpQjQRV3P8CTxgyO8?authuser=0&hl=zh-TW&rclk=1,25.007965,121.5092991,0.117542146453828
QQ王子地瓜球,234新北市永和區永平路路上(樂華夜市內 ,https://www.google.com/maps/place/QQ%E7%8E%8B%E5%AD%90%E5%9C%B0%E7%93%9C%E7%90%83/data=!4m7!3m6!1s0x3442a9c30c8db583:0x995d5231ff16339e!8m2!3d25.0094475!4d121.5100696!16s%2Fg%2F1tdy6rxt!19sChIJg7WNDMOpQjQRnjMW_zFSXZk?authuser=0&hl=zh-TW&rclk=1,25.0094475,121.5074947,0.2962312142189721
小島湖 · 一口酥臭豆腐［樂華總店］,234新北市永和區永平路81巷2號 ,https://www.google.com/maps/place/%E5%B0%8F%E5%B3%B6%E6%B9%96+%C2%B7+%E4%B8%80%E5%8F%A3%E9%85%A5%E8%87%AD%E8%B1%86%E8%85%90%EF%BC%BB%E6%A8%82%E8%8F%AF%E7%B8%BD%E5%BA%97%EF%BC%BD/data=!4m7!3m6!1s0x3442a93207efdbb1:0x3bb02864e853ce79!8m2!3d25.008245!4d121.5115058!16s%2Fg%2F11h4g33rbt!19sChIJsdvvBzKpQjQRec5T6GQosDs?authuser=0&hl=zh-TW&rclk=1,25.008245,121.5089309,0.1389354120554586
好吃當歸鴨,234新北市永和區永平路187號 ,https://www.google.com/maps/place/%E5%A5%BD%E5%90%83%E7%95%B6%E6%AD%B8%E9%B4%A8/data=!4m7!3m6!1s0x3442a9c30df5b885:0x9b1ba3dc6c30aca6!8m2!3d25.0093451!4d121.5101504!16s%2Fg%2F1tg4j21f!19sChIJhbj1DcOpQjQRpqwwbNyjG5s?authuser=0&hl=zh-TW&rclk=1,25.0086461,121.5087053,0.1575367317739568
何佳佳蔥油餅-樂華店(休假請看FB.IG.Google貼文),23444新北市永和區永平路186號 ,https://www.google.com/maps/place/%E4%BD%95%E4%BD%B3%E4%BD%B3%E8%94%A5%E6%B2%B9%E9%A4%85-%E6%A8%82%E8%8F%AF%E5%BA%97%28%E4%BC%91%E5%81%87%E8%AB%8B%E7%9C%8BFB.IG.Google%E8%B2%BC%E6%96%87%29/data=!4m7!3m6!1s0x3442a99e5115a047:0xb6f8f20aa4fc06e1!8m2!3d25.0093452!4d121.5104193!16s%2Fg%2F11hy9mzhqb!19sChIJR6AVUZ6pQjQR4Qb8pAry-LY?authuser=0&hl=zh-TW&rclk=1,25.0093452,121.5078444,0.2591734005395791
巨無霸懷念潤餅捲（手工現做）,234新北市永和區永平路81巷6號 ,https://www.google.com/maps/place/%E5%B7%A8%E7%84%A1%E9%9C%B8%E6%87%B7%E5%BF%B5%E6%BD%A4%E9%A4%85%E6%8D%B2%EF%BC%88%E6%89%8B%E5%B7%A5%E7%8F%BE%E5%81%9A%EF%BC%89/data=!4m7!3m6!1s0x3442a976ca83e749:0x95e6fd9af7564768!8m2!3d25.0081564!4d121.5117395!16s%2Fg%2F11s20krgj8!19sChIJSeeDynapQjQRaEdW95r95pU?authuser=0&hl=zh-TW&rclk=1,25.0081564,121.5091646,0.1195680914471136
小么雞鹹水雞 新北永和樂華夜市店,234新北市永和區永平路 ,https://www.google.com/maps/place/%E5%B0%8F%E4%B9%88%E9%9B%9E%E9%B9%B9%E6%B0%B4%E9%9B%9E+%E6%96%B0%E5%8C%97%E6%B0%B8%E5%92%8C%E6%A8%82%E8%8F%AF%E5%A4%9C%E5%B8%82%E5%BA%97/data=!4m7!3m6!1s0x3442a9c310edc433:0x70af26e1a7961e78!8m2!3d25.0087774!4d121.5106594!16s%2Fg%2F12hkljggv!19sChIJM8TtEMOpQjQReB6Wp-Emr3A?authuser=0&hl=zh-TW&rclk=1,25.0087774,121.5080845,0.2212266634737338
媛媛樂華煙燻滷味,234新北市永和區保平路18巷8號 ,https://www.google.com/maps/place/%E5%AA%9B%E5%AA%9B%E6%A8%82%E8%8F%AF%E7%85%99%E7%87%BB%E6%BB%B7%E5%91%B3/data=!4m7!3m6!1s0x3442a9997929b343:0x574e4b14e0d852e8!8m2!3d25.0077989!4d121.5120978!16s%2Fg%2F11pztsp2tt!19sChIJQ7MpeZmpQjQR6FLY4BRLTlc?authuser=0&hl=zh-TW&rclk=1,25.0077989,121.5095229,0.1126704312563425
永和佳佳香鍋貼專賣店,234新北市永和區永和路一段114號 ,https://www.google.com/maps/place/%E6%B0%B8%E5%92%8C%E4%BD%B3%E4%BD%B3%E9%A6%99%E9%8D%8B%E8%B2%BC%E5%B0%88%E8%B3%A3%E5%BA%97/data=!4m7!3m6!1s0x3442a9c2a38b529f:0xfd9c6f65ea7bb66f!8m2!3d25.0074588!4d121.5136458!16s%2Fg%2F1tw1bjjt!19sChIJn1KLo8KpQjQRb7Z76mVvnP0?authuser=0&hl=zh-TW&rclk=1,25.0074588,121.5110709,0.1467461904167338
