餐廳名稱,餐廳地址,餐廳連結
大東夜市 炒公仔麵,701台南市東區 701,"https://www.google.com/maps/place/%E5%A4%A7%E6%9D%B1%E5%A4%9C%E5%B8%82+%E7%82%92%E5%85%AC%E4%BB%94%E9%BA%B5/@22.9826234,120.2161497,17z/data=!3m1!4b1!4m6!3m5!1s0x346e77dd621023eb:0xf3a03e50dbb8584f!8m2!3d22.9826234!4d120.2187246!16s%2Fg%2F11sch9z7dt?entry=ttu&g_ep=EgoyMDI1MDQyMS4wIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D"
功夫燒肉夾饃 - 大東夜市,701台南市東區林森路一段276號,"https://www.google.com/maps/place/%E5%8A%9F%E5%A4%AB%E7%87%92%E8%82%89%E5%A4%BE%E9%A5%83-%E5%A4%A7%E6%9D%B1%E5%A4%9C%E5%B8%82/@22.9825508,120.2161189,17z/data=!3m1!4b1!4m6!3m5!1s0x346e77d949647aeb:0x9ed2ef3026609eca!8m2!3d22.9825508!4d120.2186938!16s%2Fg%2F11v0bs0t8p?entry=ttu&g_ep=EgoyMDI1MDQyMS4wIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D"
喵禾子創意棺材板,701台南市東區林森路一段276號,"https://www.google.com/maps/place/%E5%96%B5%E7%A6%BE%E5%AD%90%E5%89%B5%E6%84%8F%E6%A3%BA%E6%9D%90%E6%9D%BF/@22.982592,120.2161281,17z/data=!3m1!4b1!4m6!3m5!1s0x346e77004831ce8f:0xe81405d39dc41d39!8m2!3d22.982592!4d120.218703!16s%2Fg%2F11yc7_4_lm?entry=ttu&g_ep=EgoyMDI1MDQyMS4wIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D"
炫の日式舒芙蕾鬆餅專賣,701台南市東區林森路一段276號,https://www.google.com/maps/place/%E7%82%AB%E3%81%AE%E6%97%A5%E5%BC%8F%E8%88%92%E8%8A%99%E8%95%BE%E9%AC%86%E9%A4%85%E5%B0%88%E8%B3%A3/data=!4m7!3m6!1s0x346e776f09010e73:0xca391c731055a5b4!8m2!3d22.982421!4d120.2186208!16s%2Fg%2F11t830qvk5!19sChIJcw4BCW93bjQRtKVVEHMcOco?authuser=0&hl=zh-TW&rclk=1
Sisbro 希絲柏甜食所 ｜早午餐｜舒芙蕾鬆餅｜千層蛋糕｜義大利麵｜,701台南市東區府連路368號,https://www.google.com/maps/place/Sisbro+%E5%B8%8C%E7%B5%B2%E6%9F%8F%E7%94%9C%E9%A3%9F%E6%89%80+%EF%BD%9C%E6%97%A9%E5%8D%88%E9%A4%90%EF%BD%9C%E8%88%92%E8%8A%99%E8%95%BE%E9%AC%86%E9%A4%85%EF%BD%9C%E5%8D%83%E5%B1%A4%E8%9B%8B%E7%B3%95%EF%BD%9C%E7%BE%A9%E5%A4%A7%E5%88%A9%E9%BA%B5%EF%BD%9C/data=!4m7!3m6!1s0x346e7684d2a10425:0x88f57f6aad0bca8b!8m2!3d22.9846525!4d120.2165034!16s%2Fg%2F11f2xnkkzm!19sChIJJQSh0oR2bjQRi8oLrWp_9Yg?authuser=0&hl=zh-TW&rclk=1
無名水果攤,701台南市東區林森路一段276號,https://www.google.com/maps/place/%E7%84%A1%E5%90%8D%E6%B0%B4%E6%9E%9C%E6%94%A4/data=!4m7!3m6!1s0x346e77d0fa4094b9:0x521d2bef45373300!8m2!3d22.9824314!4d120.2188779!16s%2Fg%2F11s9c7hlzd!19sChIJuZRA-tB3bjQRADM3Re8rHVI?authuser=0&hl=zh-TW&rclk=1
日屋章魚小丸子,701台南市東區,https://www.google.com/maps/place/%E6%97%A5%E5%B1%8B%E7%AB%A0%E9%AD%9A%E5%B0%8F%E4%B8%B8%E5%AD%90/data=!4m7!3m6!1s0x346e7700604ba92d:0xc021515e1828c917!8m2!3d22.9824366!4d120.219017!16s%2Fg%2F11vpy3fb99!19sChIJLalLYAB3bjQRF8koGF5RIcA?authuser=0&hl=zh-TW&rclk=1
日船章魚小丸子(成大店）,70145台南市東區育樂街53-4號,https://www.google.com/maps/place/%E6%97%A5%E8%88%B9%E7%AB%A0%E9%AD%9A%E5%B0%8F%E4%B8%B8%E5%AD%90%28%E6%88%90%E5%A4%A7%E5%BA%97%EF%BC%89/data=!4m7!3m6!1s0x346e77b6e447fbf5:0x9c7e8ce4bc9e8469!8m2!3d22.9953705!4d120.2164978!16s%2Fg%2F11ssj4rv2z!19sChIJ9ftH5LZ3bjQRaYSevOSMfpw?authuser=0&hl=zh-TW&rclk=1
日船（4/22搬至育樂街53-4號）,70145台南市東區育樂街35-28號,https://www.google.com/maps/place/%E6%97%A5%E8%88%B9%EF%BC%884%2F22%E6%90%AC%E8%87%B3%E8%82%B2%E6%A8%82%E8%A1%9753-4%E8%99%9F%EF%BC%89/data=!4m7!3m6!1s0x346e7692796a8b21:0xe8d124aeb80a76b5!8m2!3d22.9954989!4d120.2166117!16s%2Fg%2F12m9j0nc5!19sChIJIYtqeZJ2bjQRtXYKuK4k0eg?authuser=0&hl=zh-TW&rclk=1
日船章魚小丸子,701台南市東區裕農路627號,https://www.google.com/maps/place/%E6%97%A5%E8%88%B9%E7%AB%A0%E9%AD%9A%E5%B0%8F%E4%B8%B8%E5%AD%90/data=!4m7!3m6!1s0x346e76bbdc806bf3:0x8923e68bc87b39c9!8m2!3d22.988751!4d120.2357467!16s%2Fg%2F11gdrj7s3f!19sChIJ82uA3Lt2bjQRyTl7yIvmI4k?authuser=0&hl=zh-TW&rclk=1
