餐廳名稱,留言者,留言者身分,留言時間,星級評等,評論內容
武聖真好味臭臭鍋,W Ei,在地嚮導 · 23 則評論 · 8 張相片,8 個月前,1 顆星,8/5號 去外帶了一份泡菜火鍋 回家吃完後隔天送醫院 急性腸胃炎 細菌感染 整天就只吃了你們一個火鍋 ，看員工找錢都戴手套又戴著找錢的手套去撲火鍋料，我是覺得這樣衛生可能不太好。
武聖真好味臭臭鍋,王可（CoCo）,在地嚮導 · 42 則評論 · 83 張相片,9 個月前,5 顆星,"有素食火鍋與素食鍋燒♡
不吃蛋可以換菜～
店家很親切～讚讚的(⁎⁍̴̛ᴗ⁍̴̛⁎)ჱ̒"
武聖真好味臭臭鍋,檬,在地嚮導 · 51 則評論 · 89 張相片,9 個月前,5 顆星,牛奶鍋非常好吃，濃郁香醇～👍 …
武聖真好味臭臭鍋,DDD Wu,在地嚮導 · 119 則評論 · 149 張相片,10 個月前,2 顆星,"不知道為何分數可以來到4分多…
可能是因為，漂亮親切的短褲 店員姐姐們吧？
好湯頭.中型蛤蠣.沒了
.
工作結束來吃個晚餐，價格跟別家白飯、麵和點心吃到飽的不相上下.
加點的鴨血，切薄薄的，煮好一咬下去有奧味……沒到很重，但就是有.
吃到第二片，還是有奧味…算了，乾脆都不吃了，下班吃個飯整個心情更差了…
幸好湯只有一點點那個奧血的味道，喝掉一部份奧味的，剩下的湯算甜.
飲料口味只有2種.
看其他評論都是說價格便宜？？？？
是一般價格而已吧…？老實說…大呼過癮都比這個划算…"
武聖真好味臭臭鍋,綺檬子,12 則評論,10 個月前,5 顆星,真的用心在服務每位去用餐的客人，值得推薦各位去吃
武聖真好味臭臭鍋,陳呈呈,在地嚮導 · 81 則評論 · 148 張相片,11 個月前,5 顆星,
武聖真好味臭臭鍋,王弈詠,在地嚮導 · 20 則評論 · 4 張相片,11 個月前,5 顆星,湯頭喝得出來真材實料熬的，豆腐很好吃，價位比起其他小火鍋店便宜👍🏻
武聖真好味臭臭鍋,喜臨,在地嚮導 · 43 則評論 · 1 張相片,11 個月前,1 顆星,"爛死了，明明點餐付錢時交代用塑膠袋裝就好、店員也確認不用給紙碗？我也說好！
拿到時依舊是紙碗裝、我心想算了、都裝好了也不好意思在讓倒出來，回家放著洗個澡出來發現底部已濕軟、拿個鍋子想倒出來換個碗吃、一拿起來整個傾瀉而出、衣服桌上腳上全都是火鍋湯料、真的心情有夠差"
武聖真好味臭臭鍋,喵兒呼,在地嚮導 · 69 則評論 · 4 張相片,11 個月前,5 顆星,很好吃的小火鍋 價格便宜 態度又親切
武聖真好味臭臭鍋,Zolio守豐,在地嚮導 · 85 則評論 · 175 張相片,1 年前,5 顆星,
武聖真好味臭臭鍋,Leo Chen,在地嚮導 · 211 則評論 · 18 張相片,1 年前,5 顆星,先不說好不好吃，但裡面的帥哥美女服務真是佳，進去離開都會打招呼，這就打趴許多店。餐點就是一般小火鍋，有飲料喝到飽，服務好就會再回訪的店
武聖真好味臭臭鍋,老子警告你,在地嚮導 · 26 則評論 · 25 張相片,1 年前,1 顆星,"一個海鮮鍋140
兩顆蛤蠣都沒開
不曉得煮的人這麼隨便
都不需要檢查嗎？
傻眼🙄"
武聖真好味臭臭鍋,陳亨展,7 則評論 · 3 張相片,1 年前,3 顆星,剛才叫沙茶豬鍋，沒放沙茶
武聖真好味臭臭鍋,均Ling,3 則評論,1 年前,5 顆星,起司牛奶鍋超讚
武聖真好味臭臭鍋,丸子,在地嚮導 · 18 則評論 · 29 張相片,1 年前,5 顆星,最愛麻辣冬粉
武聖真好味臭臭鍋,sbear Li,在地嚮導 · 35 則評論 · 25 張相片,1 年前,5 顆星,"消費時間2023/12/1 晚上八點
外帶原味湯底回家煮牛肉火鍋，大家都很喜歡這個湯頭，之前在店內吃鍋就覺得湯頭很讚，沒想到湯底依然這麼厲害。員工很有朝氣，速度快，笑臉迎人，收費態度謹慎，顏值高。👍"
武聖真好味臭臭鍋,Kiwi Liu,1 則評論 · 3 張相片,1 年前,1 顆星,太不衛生了，怎麼會有木材，還這麼多，麻煩注重一下衛生可以嗎？😡
武聖真好味臭臭鍋,。祤,在地嚮導 · 21 則評論 · 5 張相片,1 年前,5 顆星,養生羊肉鍋，泡菜鍋跟海鮮鍋都很好吃，重點是服務超親切的，而且也很便宜還吃的飽！又開的很晚，超讚的😍
武聖真好味臭臭鍋,賴甫齊,在地嚮導 · 256 則評論 · 30 張相片,1 年前,5 顆星,平價又實惠的小火鍋，湯頭美味！用餐時段需等候，可以電話預訂再去拿，很方便。
武聖真好味臭臭鍋,TONY YAN,"在地嚮導 · 322 則評論 · 1,557 張相片",1 年前,4 顆星,
武聖真好味臭臭鍋,小羊,19 則評論 · 3 張相片,1 年前,5 顆星,好吃！從小吃到大
武聖真好味臭臭鍋,Patty Lin,36 則評論 · 36 張相片,1 年前,5 顆星,"今天下班突然很想吃火鍋🍲
四點多剛到，店家應該剛營業，詢問店家營業了嗎？店員很客氣說可以點餐，點了一鍋養身羊肉鍋做外帶…
餐點好了之後，店員貼心提醒：外帶很燙要小心😊
拿完餐點，老闆和店員很熱情說掰掰👋
回到家，喝了一口湯，原以為是咖啡色中藥那種味道，湯是乳白色的，喝下去有淡淡的中藥味，重點是清爽的，沒有味素那種喝完很口渴…
真心覺得吃上小小鍋，店家服務態度很好👌
推一個😊"
武聖真好味臭臭鍋,Stacy Hung,在地嚮導 · 39 則評論 · 14 張相片,1 年前,5 顆星,泡菜鍋的味道很夠，不想吃飯還可以換冬粉或菜，好吃!!!
武聖真好味臭臭鍋,Terence Huang (阿囧二世),在地嚮導 · 51 則評論 · 22 張相片,1 年前,5 顆星,親切好吃
武聖真好味臭臭鍋,星が輝く夜,在地嚮導 · 44 則評論 · 1 張相片,1 年前,4 顆星,很好吃 店員人很好🫶 …
武聖真好味臭臭鍋,蔡惠鈴,10 則評論 · 2 張相片,1 年前,5 顆星,
武聖真好味臭臭鍋,尤冠柏,2 則評論,1 年前,5 顆星,臭臭鍋
武聖真好味臭臭鍋,玉珍白,8 則評論 · 10 張相片,1 年前,2 顆星,
武聖真好味臭臭鍋,蘇文賢,在地嚮導 · 353 則評論 · 574 張相片,1 年前,3 顆星,有蔥加分！還不錯吃！
武聖真好味臭臭鍋,C.W LEE,在地嚮導 · 185 則評論,1 年前,3 顆星,
武聖真好味臭臭鍋,蔡培芬,在地嚮導 · 65 則評論 · 1 張相片,1 年前,4 顆星,
