夜市名稱,餐廳名稱,餐廳地址,餐廳連結
花園夜市,小北新成功夜市,704台南市北區西門路四段171巷2號,https://www.google.com/maps/place/%E5%B0%8F%E5%8C%97%E6%96%B0%E6%88%90%E5%8A%9F%E5%A4%9C%E5%B8%82/data=!4m7!3m6!1s0x346e774e59ff972b:0x25a08069bc42d47e!8m2!3d23.0105854!4d120.2079175!16s%2Fg%2F1jmd1kn62!19sChIJK5f_WU53bjQRftRCvGmAoCU?authuser=0&hl=zh-TW&rclk=1
花園夜市,旗哥牛肉湯,704台南市北區中華北路一段126號,https://www.google.com/maps/place/%E6%97%97%E5%93%A5%E7%89%9B%E8%82%89%E6%B9%AF/data=!4m7!3m6!1s0x346e76f7aaaaaaab:0xcdb2bf6a690a5c12!8m2!3d23.0098324!4d120.1855333!16s%2Fg%2F1tdj1z92!19sChIJq6qqqvd2bjQRElwKaWq_ss0?authuser=0&hl=zh-TW&rclk=1
花園夜市,天王牛排,704台南市北區海安路三段350號,https://www.google.com/maps/place/%E5%A4%A9%E7%8E%8B%E7%89%9B%E6%8E%92/data=!4m7!3m6!1s0x346e770042c743af:0xd799cc43d22b5415!8m2!3d23.0107495!4d120.1998302!16s%2Fg%2F11vyy96stl!19sChIJr0PHQgB3bjQRFVQr0kPMmdc?authuser=0&hl=zh-TW&rclk=1
花園夜市,新加坡邋撒麵,704台南市北區海安路三段350號,https://www.google.com/maps/place/%E6%96%B0%E5%8A%A0%E5%9D%A1%E9%82%8B%E6%92%92%E9%BA%B5/data=!4m7!3m6!1s0x346e770077eb67e9:0x5a282f4c0064809a!8m2!3d23.0107508!4d120.1998577!16s%2Fg%2F11y3tyhp4z!19sChIJ6WfrdwB3bjQRmoBkAEwvKFo?authuser=0&hl=zh-TW&rclk=1
花園夜市,大上海小火鍋,704台南市北區704,"https://www.google.com/maps/place/%E5%A4%A7%E4%B8%8A%E6%B5%B7%E5%B0%8F%E7%81%AB%E9%8D%8B/@23.0107986,120.1972772,17z/data=!3m1!4b1!4m6!3m5!1s0x346e7743c88b6303:0xa68ab08a11c561e3!8m2!3d23.0107986!4d120.1998521!16s%2Fg%2F11v1194k2w?entry=ttu&g_ep=EgoyMDI1MDQyMy4wIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D"
花園夜市,紅妃大腸香腸,704台南市北區,"https://www.google.com/maps/place/%E7%B4%85%E5%A6%83%E5%A4%A7%E8%85%B8%E9%A6%99%E8%85%B8/@23.0108211,120.1973612,17z/data=!3m1!4b1!4m6!3m5!1s0x346e773f8e0710b9:0x3acc78aba020f8db!8m2!3d23.0108211!4d120.1999361!16s%2Fg%2F11v1blqt7j?entry=ttu&g_ep=EgoyMDI1MDQyMy4wIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D"
花園夜市,台南花園夜市 潘荖濃烤玉米,704台南市北區海安路三段533號,"https://www.google.com/maps/place/%E5%8F%B0%E5%8D%97%E8%8A%B1%E5%9C%92%E5%A4%9C%E5%B8%82+%E6%BD%98%E8%8D%96%E6%BF%83%E7%83%A4%E7%8E%89%E7%B1%B3/@23.0108088,120.197443,17z/data=!3m1!4b1!4m6!3m5!1s0x346e77f78c727d4b:0xc0f199a433a3c79!8m2!3d23.0108088!4d120.2000179!16s%2Fg%2F11f6l18jl7?entry=ttu&g_ep=EgoyMDI1MDQyMy4wIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D"
花園夜市,函館 燒肉丼專門（花園夜市店）,704台南市北區海安路三段與號和緯路三段交叉口 ( 花園夜市內,"https://www.google.com/maps/place/%E5%87%BD%E9%A4%A8+%E7%87%92%E8%82%89%E4%B8%BC%E5%B0%88%E9%96%80%EF%BC%88%E8%8A%B1%E5%9C%92%E5%A4%9C%E5%B8%82%E5%BA%97%EF%BC%89/@23.0108421,120.1974487,17z/data=!3m1!4b1!4m6!3m5!1s0x346e77ba200e72c5:0x7c64a9e9d17f7bf3!8m2!3d23.0108421!4d120.2000236!16s%2Fg%2F11tcs4y3hk?entry=ttu&g_ep=EgoyMDI1MDQyMy4wIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D"
花園夜市,台南花園夜市陳記麻辣鴨血魚蛋豆腐,704台南市北區,"https://www.google.com/maps/place/%E5%8F%B0%E5%8D%97%E8%8A%B1%E5%9C%92%E5%A4%9C%E5%B8%82%E9%99%B3%E8%A8%98%E9%BA%BB%E8%BE%A3%E9%B4%A8%E8%A1%80%E9%AD%9A%E8%9B%8B%E8%B1%86%E8%85%90/@23.010871,120.1972821,17z/data=!3m1!4b1!4m6!3m5!1s0x346e77178544f6d9:0xc0626796c22a6d3f!8m2!3d23.010871!4d120.199857!16s%2Fg%2F11v4h976km?entry=ttu&g_ep=EgoyMDI1MDQyMy4wIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D"
花園夜市,京典酵素臭豆腐-花園夜市,704台南市北區海安路三段350號,https://www.google.com/maps/place/%E4%BA%AC%E5%85%B8%E9%85%B5%E7%B4%A0%E8%87%AD%E8%B1%86%E8%85%90-%E8%8A%B1%E5%9C%92%E5%A4%9C%E5%B8%82/data=!4m7!3m6!1s0x346e77003c687fbb:0x43220c6cfaba9388!8m2!3d23.010656!4d120.1998372!16s%2Fg%2F11x1fg3hy2!19sChIJu39oPAB3bjQRiJO6-mwMIkM?authuser=0&hl=zh-TW&rclk=1
花園夜市,友愛 雪之冰 港式奶茶,704台南市北區704,"https://www.google.com/maps/place/%E5%8F%8B%E6%84%9B+%E9%9B%AA%E4%B9%8B%E5%86%B0+%E6%B8%AF%E5%BC%8F%E5%A5%B6%E8%8C%B6/@23.0106319,120.197317,17z/data=!3m1!4b1!4m6!3m5!1s0x346e77c49f1adb9d:0xbf84da0fd59dab57!8m2!3d23.0106319!4d120.1998919!16s%2Fg%2F11tjh9mmg3?entry=ttu&g_ep=EgoyMDI1MDQyMy4wIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D"
花園夜市,吳記排骨酥,704台南市北區海安路三段350號,https://www.google.com/maps/place/%E5%90%B3%E8%A8%98%E6%8E%92%E9%AA%A8%E9%85%A5/data=!4m7!3m6!1s0x346e77004e9bad2f:0x1da4660766b1869d!8m2!3d23.0106026!4d120.199854!16s%2Fg%2F11vwqsp55n!19sChIJL62bTgB3bjQRnYaxZgdmpB0?authuser=0&hl=zh-TW&rclk=1
花園夜市,三代藥膳心肝湯,704台南市北區,"https://www.google.com/maps/place/%E4%B8%89%E4%BB%A3%E8%97%A5%E8%86%B3%E5%BF%83%E8%82%9D%E6%B9%AF/@23.0106665,120.1974118,17z/data=!3m1!4b1!4m6!3m5!1s0x346e770017098d57:0xf2a35d01ccc1a0af!8m2!3d23.0106665!4d120.1999867!16s%2Fg%2F11y3tyfdpd?entry=ttu&g_ep=EgoyMDI1MDQyMy4wIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D"
